GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031283100,593.9576906065131,-1376.069722037926,436.7429127273733,-18994.38823464368,338.26406051307566,30985.06972203793,29609.0,-0.4287080572117788
17031283800,911.0,41396.0,236.0,-23800.0,716.0,45972.0,87368.0,1.9585505537750798
17031291200,-171.0,9292.0,126.0,-6600.0,-3.0,18922.0,28214.0,-0.6920541502186034
17031291600,-344.0,49346.0,649.0,103100.0,126.0,28571.0,77917.0,6.333040340148298
17031292200,-530.3027098696011,10944.744586424738,158.57665803714963,-132119.50094723416,9.475322852118246,24240.25541357526,35185.0,-1.7605611651473043
17031292400,239.0,26842.0,324.0,-2600.0,121.0,23158.0,50000.0,1.0896528780097625
17031292500,-379.0,13988.0,298.0,11400.0,474.0,32500.0,46488.0,2.1640471770454965
17031300500,-232.0,8415.0,129.0,-74800.0,248.0,44119.0,52534.0,-0.9960922364126806
17031300600,-678.0,6698.0,233.0,-25500.0,4.0,37239.0,43937.0,0.05434417824837334
17031300700,377.0,9090.0,130.0,-12100.0,244.0,31492.0,40582.0,-0.8958665945749076
17031300800,90.0,-4327.0,116.0,17100.0,53.0,31801.0,27474.0,-1.487537426805928
17031300900,319.0,8042.0,98.0,-145300.0,88.0,23567.0,31609.0,-3.399942949996625
17031301100,-216.0833816520767,1381.726676188995,136.20944407517925,-128354.81183974206,70.43054121706663,32468.273323811005,33850.0,-2.703837448746243
17031301200,331.0,-2547.0,-24.0,-24700.0,187.0,36518.0,33971.0,-2.5752915737131072
17031301600,-468.0,-1805.0,50.0,-50000.0,268.0,28359.0,26554.0,-1.2383372532153656
17031301701,-211.0,4278.0,104.0,-35400.0,141.0,42485.0,46763.0,-1.0992417976811781
17031301702,62.0,1034.0,64.0,-71700.0,123.0,41996.0,43030.0,-2.451525295238674
17031301802,57.0,9091.0,141.0,-4800.0,162.0,28548.0,37639.0,-0.5029451734188387
17031301803,-898.0,-3080.0,107.0,-61500.0,147.0,36307.0,33227.0,-0.9570533169408314
17031310400,-288.0,41506.0,648.0,-1600.0,308.0,28232.0,69738.0,4.673401078383834
17031310500,-203.70719718846385,32605.662185576133,264.5922043770506,-3425.8359036115,152.2670222047457,19484.337814423867,52090.0,1.908548792989283
17031310600,-93.2928028115357,37565.33781442387,401.4077956229494,71925.8359036115,1212.7329777952543,28508.662185576133,66074.0,6.568091650222238
17031310700,-542.0,27333.0,431.0,-69300.0,-129.0,18917.0,46250.0,1.039210122214386
