GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_2010_on_2020,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031360200,511.0,8720.0,709.0,190.0,-173600.0,65.0,18363.0,27083.0,-3.7445477667980507
17031380100,-335.0,-340.0,442.0,-102.0,-27800.0,189.0,20156.0,19816.0,-2.136962929836316
17031380200,-26.0,7021.0,566.0,8.0,-126300.0,272.0,18292.0,25313.0,-2.7713553557154147
17031381200,-109.0,19125.0,708.0,310.0,-177600.0,180.0,33063.0,52188.0,-1.3843387164964667
17031381800,237.0,17460.0,637.0,317.0,94200.0,150.0,19389.0,36849.0,1.9133879495597563
17031381900,-30.0,18974.0,922.0,-109.0,-58800.0,33.0,32955.0,51929.0,-2.1509153317773646
17031390300,263.0,5251.0,578.0,-3.0,389700.0,267.0,20851.0,26102.0,4.109841295900198
17031390400,-875.0,-775.0,703.0,16.0,67200.0,169.0,21627.0,20852.0,0.47458617338085585
17031400300,-206.0,-677.0,895.0,253.0,42100.0,20.0,32950.0,32273.0,-0.06045053908211856
17031400400,366.0,12871.0,854.0,33.0,-37000.0,156.0,20781.0,33652.0,-1.8088726979097953
17031400500,59.0,-524.0,849.0,80.0,-98000.0,125.0,22539.0,22015.0,-3.008373369564983
17031400800,160.0,-899.0,690.0,227.0,,36.0,13795.0,12896.0,
17031410200,221.0,20202.0,801.0,304.0,-309700.0,74.0,24022.0,44224.0,-3.9795373767336297
17031410500,176.0,20729.0,875.0,433.0,-44200.0,266.0,37065.0,57794.0,1.0570815337236352
17031410700,214.0,11895.0,892.0,321.0,23000.0,21.0,27031.0,38926.0,0.24009755561648077
17031410800,282.0,7829.0,723.0,383.0,4800.0,416.0,36414.0,44243.0,0.8980659454817281
17031420200,117.0,7875.0,812.0,286.0,-136400.0,8.0,25313.0,33188.0,-2.3981857706090337
17031420300,38.0,-6970.0,797.0,189.0,-37100.0,81.0,40263.0,33293.0,-2.117737251577969
17031420400,-432.0,-10958.0,685.0,132.0,-61800.0,-154.0,28958.0,18000.0,-2.94603437666937
17031420500,-494.0,-86.0,684.0,93.0,-76100.0,88.0,24663.0,24577.0,-1.9214462778833212
17031420600,321.0,2344.0,823.0,156.0,-93200.0,33.0,23323.0,25667.0,-2.982479623375362
17031420700,-661.0,-4233.0,906.0,136.0,-54900.0,-85.0,29212.0,24979.0,-1.8868441021064415
17031420800,413.0,18509.0,825.0,411.0,-52200.0,200.0,22047.0,40556.0,0.19234402051205757
17031421200,-395.0,1430.0,840.0,-2.0,-98500.0,59.0,18286.0,19716.0,-2.8083546110620894
17031430101,-1470.0,4153.0,829.0,145.0,-95300.0,-156.0,28608.0,32761.0,-0.9197211513904382
17031430200,420.0,7318.0,655.0,262.0,179600.0,384.0,20738.0,28056.0,2.544198409199977
17031430300,48.0,-1072.0,888.0,173.0,-27300.0,76.0,27471.0,26399.0,-1.6861907992908418
17031430500,-156.0,991.0,672.0,224.0,26900.0,119.0,20982.0,21973.0,-0.128915160987046
17031430600,724.0,27639.0,819.0,-5.0,-6500.0,39.0,31161.0,58800.0,-1.3591346798802033
17031430800,-307.0,12473.0,904.0,107.0,-11500.0,146.0,33185.0,45658.0,-0.19957352605640738
17031430900,137.0,11220.0,767.0,4.0,-20100.0,-2.0,28728.0,39948.0,-1.8893111570229588
17031431200,-278.0,2133.0,776.0,291.0,-7500.0,-22.0,47568.0,49701.0,-0.41510724037943264
17031431301,591.0,6667.0,838.0,81.0,-89200.0,120.0,24622.0,31289.0,-3.1527637424643946
17031431302,31.0,4639.0,875.0,90.0,83700.0,116.0,21750.0,26389.0,0.028792641677622105
17031440101,-28.114315728407743,1175.5679829203218,731.9931534949841,131.00684650501591,,-109.32621505865262,22449.43201707968,23625.0,
